Name,Event,League,Date
Lenny Anderson,Thankgiving 2000,Anderson Family Championship,2000-11-30
Lou Crooks,Thankgiving 2000,Anderson Family Championship,2000-11-30
Gerry Crooks,Thankgiving 2000,Anderson Family Championship,2000-11-30
Garfield Anderson,Thankgiving 2000,Anderson Family Championship,2000-11-30
Abigail Anderson,Thankgiving 2000,Anderson Family Championship,2000-11-30
Quincy Crooks,Thankgiving 2000,Anderson Family Championship,2000-11-30
Carli Crooks,Thankgiving 2000,Anderson Family Championship,2000-11-30
Cooper Beer,Thankgiving 2000,Anderson Family Championship,2000-11-30
Alexie Beer,Thankgiving 2000,Anderson Family Championship,2000-11-30
Annabelle Beer,Thankgiving 2000,Anderson Family Championship,2000-11-30
Lenny Anderson,Fourth of July 2000,Anderson Family Championship,2000-07-04
Lou Crooks,Fourth of July 2000,Anderson Family Championship,2000-07-04
Annabelle Beer,Fourth of July 2000,Anderson Family Championship,2000-07-04
Gerry Crooks,Fourth of July 2000,Anderson Family Championship,2000-07-04
Garfield Anderson,Fourth of July 2000,Anderson Family Championship,2000-07-04
Abigail Anderson,Fourth of July 2000,Anderson Family Championship,2000-07-04
Carli Crooks,Fourth of July 2000,Anderson Family Championship,2000-07-04
Cooper Beer,Fourth of July 2000,Anderson Family Championship,2000-07-04
Alexie Beer,Fourth of July 2000,Anderson Family Championship,2000-07-04
Quincy Crooks,Fourth of July 2000,Anderson Family Championship,2000-07-04
Lou Crooks,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Annabelle Beer,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Gerry Crooks,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Garfield Anderson,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Abigail Anderson,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Lenny Anderson,New Year's Eve 2000,Anderson Family Championship,2000-12-31
Carli Crooks,New Year's Eve 2000,Anderson Family Championship,2000-12-31
