Name,Weight,Event,Time
Abigail Anderson,100,Thankgiving 2000,2000-11-30T00:25:57-06:00
Lenny Anderson,101,Thankgiving 2000,2000-11-30T00:15:13-06:00
Quincy Crooks,98,Thankgiving 2000,2000-11-30T00:41:37-06:00
Quincy Crooks,103,Thankgiving 2000,2000-11-30T01:39:15-06:00
Quincy Crooks,100,Thankgiving 2000,2000-11-30T02:50:48-06:00
Quincy Crooks,104,Thankgiving 2000,2000-11-30T03:31:16-06:00
Quincy Crooks,104,Thankgiving 2000,2000-11-30T04:16:38-06:00
Quincy Crooks,103,Thankgiving 2000,2000-11-30T05:37:55-06:00
Quincy Crooks,106,Thankgiving 2000,2000-11-30T06:58:57-06:00
Quincy Crooks,108,Thankgiving 2000,2000-11-30T07:56:12-06:00
Quincy Crooks,106,Thankgiving 2000,2000-11-30T08:34:21-06:00
Quincy Crooks,108,Thankgiving 2000,2000-11-30T09:32:36-06:00
Quincy Crooks,112,Thankgiving 2000,2000-11-30T010:48:45-06:00
Quincy Crooks,110,Thankgiving 2000,2000-11-30T011:11:43-06:00
Quincy Crooks,110,Thankgiving 2000,2000-11-30T012:52:10-06:00
Quincy Crooks,115,Thankgiving 2000,2000-11-30T013:31:47-06:00
Quincy Crooks,115,Thankgiving 2000,2000-11-30T014:32:44-06:00
Alexie Beer,102,Thankgiving 2000,2000-11-30T00:48:58-06:00
Alexie Beer,100,Thankgiving 2000,2000-11-30T01:58:12-06:00
Alexie Beer,102,Thankgiving 2000,2000-11-30T02:52:57-06:00
Alexie Beer,101,Thankgiving 2000,2000-11-30T03:21:29-06:00
Alexie Beer,106,Thankgiving 2000,2000-11-30T04:36:22-06:00
Alexie Beer,104,Thankgiving 2000,2000-11-30T05:24:32-06:00
Alexie Beer,104,Thankgiving 2000,2000-11-30T06:52:24-06:00
Alexie Beer,108,Thankgiving 2000,2000-11-30T07:26:46-06:00
Alexie Beer,110,Thankgiving 2000,2000-11-30T08:46:16-06:00
Alexie Beer,110,Thankgiving 2000,2000-11-30T09:12:17-06:00
